LanePointX,LanePointY
-1.646000,2.000000
-1.646009,2.000000
-1.645997,2.000000
-1.645989,2.000000
-1.645984,2.000000
-1.645976,2.000000
-1.645966,2.000000
-1.645947,2.000000
-1.645920,2.000000
-1.645880,2.000000
-1.645826,2.000000
-1.640606,2.000000
-1.639866,2.000000
-1.639062,2.000000
-1.638188,2.000000
-1.637245,2.000000
-1.623285,2.000000
-1.578651,2.000000
-1.574737,2.000000
-1.570673,2.000000
-1.566456,2.000000
-1.562087,2.000000
-1.557558,2.000000
-1.552871,2.000000
-1.548021,2.000000
-1.542998,2.000000
-1.537816,2.000000
-1.532460,2.000000
-1.526926,2.000000
-1.521223,2.000000
-1.515334,2.000000
-1.509261,2.000000
-1.385047,2.000000
-1.375445,2.000000
-1.365615,2.000000
-1.355549,2.000000
-1.345245,2.000000
-1.334694,2.000000
-1.323904,2.000000
-1.312870,1.999998
-1.301607,1.999997
-1.290104,1.999993
-1.278324,1.999990
-1.266332,1.999984
-1.254065,1.999979
-1.241532,1.999972
-1.228773,1.999966
-0.987499,1.999793
-0.970002,1.999783
-0.952250,1.999775
-0.934171,1.999766
-0.915769,1.999761
-0.897066,1.999756
-0.878045,1.999754
-0.858739,1.999752
-0.839131,1.999755
-0.819222,1.999758
-0.799005,1.999766
-0.778506,1.999775
-0.757671,1.999789
-0.736590,1.999805
-0.715184,1.999827
-0.332427,2.001040
-0.306025,2.001193
-0.279098,2.001363
-0.252250,2.001541
-0.225071,2.001735
-0.197276,2.001943
-0.169613,2.002166
-0.141343,2.002405
-0.113021,2.002661
-0.084276,2.002933
-0.055175,2.003226
-0.025957,2.003534
0.003806,2.003866
0.033633,2.004214
0.063590,2.004585
0.584345,2.014165
0.619231,2.015041
0.654421,2.015962
0.689933,2.016921
0.725676,2.017925
0.761687,2.018969
0.798009,2.020062
0.834597,2.021198
0.871420,2.022383
0.908520,2.023615
0.945960,2.024902
0.983595,2.026235
1.021780,2.027636
1.059775,2.029070
1.098536,2.030583
1.750303,2.063573
1.793434,2.066294
1.836404,2.069080
1.879816,2.071963
1.923568,2.074947
1.967935,2.078046
2.012129,2.081216
2.056396,2.084466
2.101142,2.087837
2.146141,2.091306
2.191430,2.094887
2.236977,2.098570
2.282757,2.102388
2.328867,2.106219
2.375228,2.110171
3.153208,2.190643
3.204241,2.196911
3.255342,2.203305
3.306827,2.209887
3.358594,2.216629
3.410691,2.223559
3.463071,2.230656
3.515930,2.237970
3.568721,2.245408
3.621984,2.253070
3.675406,2.260894
3.729256,2.268944
3.783351,2.277176
3.837771,2.285627
3.892399,2.294262
4.808354,2.464567
4.868610,2.477547
4.928160,2.490593
4.988623,2.504080
5.049353,2.517855
5.111126,2.532120
5.172193,2.546461
5.233580,2.561135
