LanePointX,LanePointY
-1.646000,-2.000000
-1.646009,-2.000000
-1.645997,-2.000000
-1.645989,-2.000000
-1.645984,-2.000000
-1.645976,-2.000000
-1.629933,-2.000000
-1.628413,-2.000000
-1.626802,-2.000000
-1.625091,-2.000000
-1.623285,-2.000000
-1.578651,-2.000000
-1.574737,-2.000000
-1.570673,-2.000000
-1.566456,-2.000000
-1.562087,-2.000000
-1.557558,-2.000000
-1.552871,-2.000000
-1.548021,-2.000000
-1.542998,-2.000000
-1.537816,-2.000000
-1.532460,-2.000000
-1.526926,-2.000000
-1.521223,-2.000000
-1.515334,-2.000000
-1.509261,-2.000000
-1.385047,-2.000000
-1.375445,-2.000000
-1.365615,-2.000000
-1.355549,-2.000000
-1.345245,-2.000000
-1.334694,-2.000000
-1.323904,-2.000000
-1.312842,-2.000002
-1.301549,-2.000003
-1.289987,-2.000007
-1.278146,-2.000010
-1.266060,-2.000016
-1.253698,-2.000021
-1.241034,-2.000028
-1.228143,-2.000034
-0.981379,-2.000202
-0.963283,-2.000212
-0.944925,-2.000219
-0.926179,-2.000226
-0.907098,-2.000230
-0.887656,-2.000233
-0.867882,-2.000233
-0.847760,-2.000233
-0.827324,-2.000228
-0.806520,-2.000222
-0.785394,-2.000211
-0.763918,-2.000199
-0.742090,-2.000181
-0.719946,-2.000160
-0.697461,-2.000133
-0.290562,-1.998741
-0.262175,-1.998566
-0.233224,-1.998374
-0.204283,-1.998172
-0.174985,-1.997952
-0.144944,-1.997714
-0.115047,-1.997461
-0.084415,-1.997190
-0.053726,-1.996899
-0.022497,-1.996590
0.009119,-1.996257
0.040944,-1.995907
0.073362,-1.995529
0.105935,-1.995132
0.138649,-1.994711
0.714184,-1.983728
0.753184,-1.982715
0.792525,-1.981654
0.832328,-1.980544
0.872391,-1.979384
0.912859,-1.978174
0.953676,-1.976908
0.994900,-1.975589
1.036389,-1.974213
1.078298,-1.972781
1.120592,-1.971284
1.163218,-1.969730
1.206466,-1.968099
1.249612,-1.966423
1.293627,-1.964656
2.042645,-1.925729
2.092789,-1.922489
2.142745,-1.919172
2.193347,-1.915731
2.244346,-1.912170
2.296197,-1.908462
2.347845,-1.904671
2.399716,-1.900773
2.452147,-1.896732
2.505013,-1.892563
2.558220,-1.888261
2.611871,-1.883823
2.665739,-1.879236
2.719982,-1.874614
2.774617,-1.869840
3.700925,-1.771680
3.762293,-1.763970
3.823892,-1.756083
3.885961,-1.747966
3.948517,-1.739631
4.011480,-1.731065
4.074936,-1.722270
4.138981,-1.713208
4.203092,-1.703968
4.267790,-1.694453
4.332827,-1.684711
4.398401,-1.674690
4.464422,-1.664415
4.530855,-1.653870
4.597691,-1.643068
5.729769,-1.427861
5.804981,-1.411310
5.879466,-1.394638
