LanePointX,LanePointY
-1.646000,-6.000000
-1.646009,-6.000000
-1.645997,-6.000000
-1.645989,-6.000000
-1.645984,-6.000000
-1.645976,-6.000000
-1.645966,-6.000000
-1.645947,-6.000000
-1.645920,-6.000000
-1.641900,-6.000000
-1.641282,-6.000000
-1.640605,-6.000000
-1.639866,-6.000000
-1.639062,-6.000000
-1.638188,-6.000000
-1.637243,-6.000000
-1.636224,-6.000000
-1.635131,-6.000000
-1.633956,-6.000000
-1.632701,-6.000000
-1.631359,-6.000000
-1.629929,-6.000000
-1.628411,-6.000000
-1.626800,-6.000000
-1.586042,-6.000000
-1.582415,-6.000000
-1.578646,-6.000000
-1.574731,-6.000000
-1.570673,-6.000000
-1.566452,-6.000000
-1.562087,-6.000000
-1.557556,-6.000000
-1.552867,-6.000000
-1.548018,-6.000000
-1.543006,-6.000000
-1.537819,-6.000000
-1.532460,-6.000000
-1.526933,-6.000000
-1.521225,-6.000000
-1.403549,-6.000000
-1.394412,-6.000000
-1.385051,-6.000000
-1.375450,-6.000000
-1.365616,-6.000000
-1.355551,-6.000000
-1.345247,-6.000000
-1.334691,-6.000000
-1.323899,-6.000000
-1.312860,-6.000000
-1.301563,-6.000000
-1.290026,-6.000000
-1.278231,-6.000000
-1.266164,-6.000000
-1.253868,-6.000000
-1.019133,-6.000000
-1.001971,-6.000000
-0.984495,-6.000000
-0.966698,-6.000000
-0.948582,-6.000000
-0.930153,-6.000000
-0.911401,-6.000000
-0.892324,-6.000000
-0.872921,-6.000000
-0.853174,-6.000000
-0.833125,-6.000000
-0.812718,-6.000000
-0.789083,-6.000000
-0.770892,-6.000000
-0.749490,-6.000000
-0.356290,-6.000041
-0.327976,-6.000053
-0.299655,-6.000063
-0.270640,-6.000076
-0.241175,-6.000086
-0.211199,-6.000098
-0.180829,-6.000107
-0.149903,-6.000117
-0.118543,-6.000123
-0.086610,-6.000129
-0.054288,-6.000131
-0.021400,-6.000131
0.011910,-6.000126
0.045814,-6.000120
0.080148,-6.000106
0.702836,-5.998660
0.746844,-5.998444
0.791078,-5.998204
0.835623,-5.997947
0.881280,-5.997658
0.927131,-5.997349
0.973789,-5.997008
1.021170,-5.996641
1.069362,-5.996237
1.118181,-5.995803
1.167326,-5.995334
1.216760,-5.994835
1.267659,-5.994286
1.318324,-5.993710
1.370012,-5.993083
2.288798,-5.975681
2.352121,-5.973993
2.417784,-5.972180
2.480868,-5.970357
2.546342,-5.968398
2.612494,-5.966333
2.679461,-5.964169
2.747020,-5.961893
2.815924,-5.959492
2.885303,-5.956974
2.955123,-5.954354
3.025698,-5.951602
